"Name","MODEL_MAP_FLAG","ATTRACTIVE_FIELD","DAMPING","MAXITER","UPDATES","ACC_VarState_training","L1_Prob_val","L1_LogScore_training","RMSE_LogScore_training","ACC_GraphState_training","RMSE_Prob_val","CrossEntropy_Prob_val","ACC_VarState_val","RMSE_DiffLog_val","RMSE_LogScore_val","RMSE_Prob_training","CrossEntropy_Prob_training","L1_DiffLog_val","L1_LogScore_val","RMSE_DiffLog_training","L1_Prob_training","ACC_GraphState_val","L1_DiffLog_training"
"glowing-haze-143","true","true","0.1","10","PARALL","0.7632","0.3368499289244413","58.83086961312661","102.73623354567675","0.16","0.3710996978862339","Infinity","0.7968","8.340529589567211","66.97639969279956","0.3727571973507331","Infinity","6.328991705101728","43.197351019669675","7.311661773228741","0.34139765718728304","0.14","5.356593673601187"
"robust-sponge-267","false","true","0.5","10000","SEQRND","0.8152","0.34134333398938177","5.209126294434547","10.281744200234808","0.64","0.3792986248332412","Infinity","0.7902","10.260245732639158","7.816266623139541","0.3590766696659746","Infinity","8.088470299276336","3.04192713616338","9.199805558472017","0.31832058331817387","0.68","6.867101076659467"
"giddy-forest-140","true","true","0.7","10","SEQRND","0.7676","0.21902063439786432","20.191455578458584","28.06559429684127","0.14","0.2631729208493961","1.049514818251133","0.7886","2.6478702560755796","29.89063790235333","0.25148013840973116","1.0048412465929986","1.8651491181004791","22.371973865544863","2.2954348844280887","0.2078031929552555","0.18","1.5472247296735178"
"clean-leaf-81","true","true","0.7","10000","SEQFIX","0.7878","0.3608040202111006","2.7609677442093385","7.552820920034715","0.68","0.387370137972694","Infinity","0.787","10.380389680024049","7.3266713534104","0.4015402500759672","Infinity","8.42053168360442","2.5838935652754698","9.549878902508066","0.37842429001778366","0.68","7.509861580936424"
"splendid-valley-204","true","true","0","10000","SEQRND","0.7184","0.3783822400778532","3.016021852662033","7.826581213738004","0.62","0.4100698223131727","Infinity","0.7852","10.448243731329253","8.528644779490712","0.4167403681159837","Infinity","8.404078922186791","3.3393249635701623","9.548189633701435","0.39303669412881137","0.7","7.538043409877643"
"curious-salad-196","true","true","0.3","10","PARALL","0.7642","0.31003424706608057","21.178806881166192","31.375462008068","0.14","0.3472232191994248","Infinity","0.784","6.6085838490290785","26.87820355155429","0.3440934981955165","Infinity","4.792839414447173","20.710821860094256","5.557564398961184","0.3084768187955022","0.14","3.906520569130406"
"confused-dust-271","false","true","0.3","20","PARALL","0.7936","0.3103413639590144","10.698651453837968","17.00573061983681","0.42","0.3537640214060308","Infinity","0.7838","9.523711277630388","16.75065673438868","0.34678229124798743","Infinity","7.132079214112088","10.474225488911712","8.661334778632627","0.295589380826056","0.38","6.160111468707863"
"super-wave-327","false","true","0.001","20","PARALL","0.7576","0.324892973639071","99.42436556463372","188.54732535098984","0.32","0.367124258255873","Infinity","0.78","9.676991762750104","133.8470949839522","0.361606983058473","Infinity","7.404328591574728","77.92633122200108","8.658389407673914","0.310175966219604","0.3","6.271560499201901"
"divine-brook-78","false","true","0","20","PARALL","0.7566","0.3250944853514433","101.68751797173466","190.5249746306386","0.32","0.3674046006711235","Infinity","0.7798","9.676709594165787","134.68338438192202","0.3615182705946075","Infinity","7.406286473082378","78.92763072408809","8.655603649557792","0.3100472154647112","0.3","6.263950728145893"
"dutiful-thunder-129","false","true","0.7","20","SEQRND","0.7722","0.27048179989904164","14.724639882093106","20.827490330629782","0.36","0.31923674953544895","Infinity","0.7782","7.973917150111451","19.286154821081208","0.3059257922109251","Infinity","5.432517528657987","14.110285399713018","6.876352405699049","0.24528906004279852","0.32","4.318912099806499"
"flowing-paper-395","false","true","0.01","10000","PARALL","0.7628","0.33440322946459056","78.41592581289368","175.20211367766868","0.46","0.3707224522022671","Infinity","0.7782","10.06255217604106","111.5605961419769","0.37073891374447265","Infinity","7.875595545654744","54.53951232715712","9.061134221952123","0.32676428524404766","0.52","6.743290851367358"
"worldly-paper-257","true","true","0.01","10","PARALL","0.7292","0.3453392596125603","124.58455238827804","194.4399036472933","0.06","0.3804651519542819","Infinity","0.7762","8.584669407043208","135.6515272044938","0.38231947681645706","Infinity","6.561978714645654","99.8932465125456","7.739371732561581","0.3503403918221593","0.06","5.71487723809965"
"jumping-puddle-220","false","true","0.001","10000","PARALL","0.7486","0.3406539571523666","97.95904547260952","199.48627552473357","0.42","0.3790128913436552","Infinity","0.7756","10.100100092376154","150.06664080796887","0.37304482702744457","Infinity","7.916892341509461","76.89905026115125","9.029107241746424","0.3284318061366677","0.48","6.709834101300872"
"crisp-dream-288","false","true","0","10000","PARALL","0.7482","0.340683025033772","98.34333973868206","200.31090160577173","0.42","0.3790514657756766","Infinity","0.7756","10.10126539679026","150.06664080796887","0.3730771170937507","Infinity","7.918274743323773","76.89905026115125","9.03041258290409","0.32845901036411523","0.48","6.71101693403814"
"eager-pine-86","false","true","0.1","10","SEQRND","0.7586","0.318399576754868","8.113629099163482","13.20500339791862","0.46","0.36209051539995246","Infinity","0.7752","9.762310421514602","13.42459922941294","0.35938284109620844","Infinity","7.392901106728986","8.878689680031426","9.086867140269057","0.3068253068611026","0.44","6.56214983219644"
"good-silence-58","false","true","0.3","20","SEQRND","0.7998","0.33118348532766106","6.8666301844200435","12.916386769703449","0.58","0.3735069148098331","Infinity","0.7738","9.917337414046647","13.262319484437164","0.362773618444967","Infinity","7.665996363507211","7.641055040940455","9.075292861735493","0.31280874386131763","0.52","6.709023884829134"
"toasty-snowflake-131","true","true","0.01","10000","SEQRND","0.7638","0.37041391691863534","2.896666727325404","7.310229928138059","0.66","0.4002943437985182","Infinity","0.7728","10.32585521322212","8.743947278676023","0.4066735724882947","Infinity","8.293553717178106","4.412085054360398","9.576872726245467","0.3818853752836585","0.56","7.517995990052633"
"vocal-tree-267","true","true","0.001","10","PARALL","0.7248","0.3470658375710249","131.44166727082427","201.6400687197","0.06","0.3823288998876737","Infinity","0.7714","8.606811223718465","144.00168415572207","0.3839527641836531","Infinity","6.586730505391583","107.95156303026572","7.786780287640795","0.3518062590241432","0.06","5.755215695930645"
"morning-music-154","false","true","0","10","SEQRND","0.6834","0.3282790503501892","9.484434500153036","14.474062819037911","0.36","0.3721003958346408","Infinity","0.7706","9.770907306627748","13.831027286923218","0.37372994167578943","Infinity","7.5164425363529475","7.863121585649248","8.912278265977358","0.3184393232733011","0.52","6.398855730452202"
"volcanic-puddle-403","false","true","0.001","10","SEQRND","0.6834","0.32824425689429043","9.484434500153036","14.474062819037911","0.36","0.37206627741315185","Infinity","0.7706","9.77120790149332","13.734327974859369","0.3737047412325658","Infinity","7.5164457326818255","7.795211872808284","8.911201471682663","0.31841247691363095","0.52","6.397456097711064"
"colorful-field-411","true","true","0","10","PARALL","0.724","0.3472420606687665","131.78873984451758","201.95105168993595","0.06","0.3825191656877557","Infinity","0.7704","8.609714884670616","145.07465696007938","0.38413943695992137","Infinity","6.5897657094184305","108.78249309276369","7.792128545642592","0.35204953872710465","0.06","5.759890308527276"
"dulcet-jazz-8","true","true","0.5","10","PARALL","0.7398","0.2333654094710946","26.024150435186197","35.70208282672101","0.1","0.2792697441567777","1.129929580950737","0.7684","2.979403784730175","33.21512914773779","0.26777240664724056","1.0629866988539696","2.094055994367972","25.74700619085352","2.540139248374166","0.22308400041759013","0.12","1.71571960069621"
"ruby-water-297","true","true","0.3","20","SEQRND","0.7652","0.3761147763639688","4.190552681351783","10.372525802255932","0.62","0.4075168986148727","Infinity","0.7662","10.297450339099983","9.179323016063751","0.4039048722698443","Infinity","8.290653966772556","4.130982195801336","9.3467197948269","0.3792339600428939","0.6","7.340322247014753"
